,Made Donation in March 2007
659,0.611411545
276,0.133826262
263,0.118847651
303,0.161941337
83,0.424040672
500,0.847616414
530,0.30205976
244,0.049862792
249,0.054030912
728,0.054516607
129,0.432239137
534,0.082552883
317,0.205951928
401,0.118847651
696,0.377860987
192,0.153241898
176,0.095889719
571,0.498768315
139,0.249811172
423,0.252359132
563,0.848912744
56,0.529056844
528,0.42344534
101,0.118847651
467,0.146218059
382,0.269525661
466,0.329865595
294,0.049862792
512,0.181120157
659,0.611411545
389,0.255939271
487,0.254753235
701,0.16821291
419,0.140797097
536,0.164074557
240,0.080068083
508,0.143444533
515,0.049862792
283,0.416133177
650,0.118847651
65,0.360967254
228,0.367316975
741,0.084974594
297,0.380386204
464,0.073459988
63,0.16821291
231,0.407855274
28,0.088288652
248,0.049862792
357,0.110510824
300,0.458848538
726,0.59133419
680,0.243359479
520,0.55094909
254,0.06525086
582,0.334821677
143,0.211263469
98,0.713968017
1,0.204454126
221,0.383829104
352,0.118847651
64,0.125187663
138,0.232566667
745,0.427615866
64,0.125187663
688,0.072660963
623,0.088504001
289,0.111251526
174,0.428197303
690,0.118847651
105,0.190216212
427,0.16390714
48,0.085210683
14,0.118847651
657,0.026371935
301,0.075936217
455,0.092766265
579,0.210005263
722,0.091583256
98,0.713968017
491,0.085210683
303,0.161941337
466,0.329865595
65,0.360967254
300,0.458848538
9,0.076439748
622,0.153241898
323,0.073277629
289,0.111251526
568,0.225423637
290,0.118847651
156,0.189461918
464,0.073459988
426,0.094318368
306,0.127440111
4,0.265255558
12,0.388128145
187,0.170383796
406,0.109192132
96,0.30205976
509,0.16821291
733,0.056820576
548,0.062333898
478,0.320315615
501,0.086298145
127,0.452200298
199,0.054451526
299,0.668954635
162,0.118847651
235,0.157740047
23,0.069881191
473,0.118847651
487,0.254753235
683,0.765889602
303,0.161941337
309,0.042463936
569,0.083324288
34,0.610868033
686,0.625732652
84,0.109121817
733,0.056820576
537,0.455582416
181,0.146392774
453,0.350588384
67,0.427771468
161,0.294023939
307,0.281153546
703,0.118080645
181,0.146392774
246,0.151555467
316,0.352640956
278,0.153241898
346,0.261467916
545,0.118847651
419,0.140797097
694,0.30205976
622,0.153241898
663,0.092402121
262,0.583938105
461,0.398656837
373,0.603402826
233,0.118847651
466,0.329865595
207,0.211263469
263,0.118847651
16,0.083324288
513,0.042166136
449,0.40396915
429,0.020278665
701,0.16821291
632,0.080525613
529,0.378848367
245,0.133942956
344,0.324577493
353,0.24127124
241,0.309066667
633,0.041652879
624,0.16821291
726,0.59133419
189,0.153241898
138,0.232566667
402,0.049862792
511,0.385628898
590,0.330180198
334,0.184820893
447,0.063371681
119,0.329865595
389,0.255939271
644,0.118847651
423,0.252359132
131,0.083324288
405,0.093541222
82,0.118847651
643,0.641611703
156,0.189461918
617,0.057364879
574,0.382524082
272,0.310856557
613,0.060055614
545,0.118847651
685,0.049862792
570,0.136788218
537,0.455582416
691,0.041652879
85,0.413728733
483,0.151555467
455,0.092766265
93,0.153241898
744,0.16821291
33,0.151555467
321,0.683897842
523,0.20945379
426,0.094318368
196,0.144355677
301,0.075936217
103,0.041652879
224,0.061277343
454,0.165565509
585,0.041194137
154,0.145533834
