,Made Donation in March 2007
659,0.555563046
276,0.071049996
263,0.144796461
303,0.535724758
83,0.555821587
500,0.556719333
530,0.262205956
244,0.070828441
249,0.070137777
728,0.070586655
129,0.072418258
534,0.076666885
317,0.533373908
401,0.144796461
696,0.335841337
192,0.072098481
176,0.098936469
571,0.555072897
139,0.076280557
423,0.402660526
563,0.552216016
56,0.519505864
528,0.544962122
101,0.144796461
467,0.186695516
382,0.54821847
466,0.363380763
294,0.070828441
512,0.28264198
659,0.555563046
389,0.550789177
487,0.070368789
701,0.294917422
419,0.415726988
536,0.079277683
240,0.144240363
508,0.0976391
515,0.070828441
283,0.536388268
650,0.144796461
65,0.445960244
228,0.072134729
741,0.070668748
297,0.539875117
464,0.07095439
63,0.294917422
231,0.485901808
28,0.070832129
248,0.070828441
357,0.072950955
300,0.556035981
726,0.556560062
680,0.072144923
520,0.499659844
254,0.070185278
582,0.101909786
143,0.310975334
98,0.539473043
1,0.419008686
221,0.55605846
352,0.144796461
64,0.070959207
138,0.527745039
745,0.554087326
64,0.070959207
688,0.07051204
623,0.071657376
289,0.21799856
174,0.544391383
690,0.144796461
105,0.075959374
427,0.071278068
48,0.070088208
14,0.144796461
657,0.070240819
301,0.076065265
455,0.071066903
579,0.538013553
722,0.070889242
98,0.539473043
491,0.070088208
303,0.535724758
466,0.363380763
65,0.445960244
300,0.556035981
9,0.070232944
622,0.072098481
323,0.070527236
289,0.21799856
568,0.50382325
290,0.144796461
156,0.074772658
464,0.07095439
426,0.070735115
306,0.184000861
4,0.526439367
12,0.514613316
187,0.497047935
406,0.07065985
96,0.262205956
509,0.294917422
733,0.073818048
548,0.070290709
478,0.126666593
501,0.072655919
127,0.539503532
199,0.39508354
299,0.554347783
162,0.144796461
235,0.070898816
23,0.075452378
473,0.144796461
487,0.070368789
683,0.552215881
303,0.535724758
309,0.070202138
569,0.070186975
34,0.548039855
686,0.556473009
84,0.208692893
733,0.073818048
537,0.554310398
181,0.073179221
453,0.556764492
67,0.553961524
161,0.555637877
307,0.424109951
703,0.073569952
181,0.073179221
246,0.071246808
316,0.527936341
278,0.072098481
346,0.075087714
545,0.144796461
419,0.415726988
694,0.262205956
622,0.072098481
663,0.070551258
262,0.556357742
461,0.535531478
373,0.556806965
233,0.144796461
466,0.363380763
207,0.310975334
263,0.144796461
16,0.070186975
513,0.070237814
449,0.432828981
429,0.070179126
701,0.294917422
632,0.070210368
529,0.555460894
245,0.428717137
344,0.071761786
353,0.070970241
241,0.548522355
633,0.070520262
624,0.294917422
726,0.556560062
189,0.072098481
138,0.527745039
402,0.070828441
511,0.542328031
590,0.548495039
334,0.1015436
447,0.070407314
119,0.363380763
389,0.550789177
644,0.144796461
423,0.402660526
131,0.070186975
405,0.07008473
82,0.144796461
643,0.556816762
156,0.074772658
617,0.070276348
574,0.511854719
272,0.540240645
613,0.070627596
545,0.144796461
685,0.070828441
570,0.076727012
537,0.554310398
691,0.070520262
85,0.555682026
483,0.071246808
455,0.071066903
93,0.072098481
744,0.294917422
33,0.071246808
321,0.556692245
523,0.094840301
426,0.070735115
196,0.070690144
301,0.076065265
103,0.070520262
224,0.070283179
454,0.070930554
585,0.070211771
154,0.550341036
